"","tool","run","parameter","moment","value"
"403","nm7","0008","OMEGA3.1","estimate","0.0060518"
"404","nm7","0008","OMEGA3.1","prse",NA
"405","nm7","0008","OMEGA3.1","se",NA
"406","nm7","0008","OMEGA3.2","estimate","-0.0318701"
"407","nm7","0008","OMEGA3.2","prse",NA
"408","nm7","0008","OMEGA3.2","se",NA
"409","nm7","0008","OMEGA3.3","estimate","0.0406102"
"410","nm7","0008","OMEGA3.3","prse",NA
"411","nm7","0008","OMEGA3.3","se",NA
"412","nm7","0008","SIGMA1.1","estimate","0.0607402"
"413","nm7","0008","SIGMA1.1","prse",NA
"414","nm7","0008","SIGMA1.1","se",NA
"415","nm7","0008","SIGMA2.1","estimate","0"
"416","nm7","0008","SIGMA2.1","prse",NA
"417","nm7","0008","SIGMA2.1","se",NA
"418","nm7","0008","SIGMA2.2","estimate","0.1526"
"419","nm7","0008","SIGMA2.2","prse",NA
"420","nm7","0008","SIGMA2.2","se",NA
"421","nm7","0008","cov","status","-1"
"422","nm7","0008","prob","text","0008 phase1 2 CMT like 1004 but diff. initial on V3"
"423","nm7","0008","min","status","0"
"424","nm7","0008","data","filename","../../1005bootdata/0008.csv"
"425","nm7","0009","ofv","minimum","2445.85726709301"
"426","nm7","0009","THETA1","estimate","9.7705"
"427","nm7","0009","THETA1","prse",NA
"428","nm7","0009","THETA1","se",NA
"429","nm7","0009","THETA2","estimate","22.2124"
"430","nm7","0009","THETA2","prse",NA
"431","nm7","0009","THETA2","se",NA
"432","nm7","0009","THETA3","estimate","0.0773407"
"433","nm7","0009","THETA3","prse",NA
"434","nm7","0009","THETA3","se",NA
"435","nm7","0009","THETA4","estimate","3.64208"
"436","nm7","0009","THETA4","prse",NA
"437","nm7","0009","THETA4","se",NA
"438","nm7","0009","THETA5","estimate","102.134"
"439","nm7","0009","THETA5","prse",NA
"440","nm7","0009","THETA5","se",NA
"441","nm7","0009","THETA6","estimate","0.865664"
"442","nm7","0009","THETA6","prse",NA
"443","nm7","0009","THETA6","se",NA
"444","nm7","0009","THETA7","estimate","1.25496"
"445","nm7","0009","THETA7","prse",NA
"446","nm7","0009","THETA7","se",NA
"447","nm7","0009","OMEGA1.1","estimate","0.181465"
"448","nm7","0009","OMEGA1.1","prse",NA
"449","nm7","0009","OMEGA1.1","se",NA
"450","nm7","0009","OMEGA2.1","estimate","0.127233"
"451","nm7","0009","OMEGA2.1","prse",NA
"452","nm7","0009","OMEGA2.1","se",NA
"453","nm7","0009","OMEGA2.2","estimate","0.11184"
"454","nm7","0009","OMEGA2.2","prse",NA
"455","nm7","0009","OMEGA2.2","se",NA
"456","nm7","0009","OMEGA3.1","estimate","0.0107017"
"457","nm7","0009","OMEGA3.1","prse",NA
"458","nm7","0009","OMEGA3.1","se",NA
"459","nm7","0009","OMEGA3.2","estimate","-0.0244607"
"460","nm7","0009","OMEGA3.2","prse",NA
"461","nm7","0009","OMEGA3.2","se",NA
"462","nm7","0009","OMEGA3.3","estimate","0.0457845"
"463","nm7","0009","OMEGA3.3","prse",NA
"464","nm7","0009","OMEGA3.3","se",NA
"465","nm7","0009","SIGMA1.1","estimate","0.0442282"
"466","nm7","0009","SIGMA1.1","prse",NA
"467","nm7","0009","SIGMA1.1","se",NA
"468","nm7","0009","SIGMA2.1","estimate","0"
"469","nm7","0009","SIGMA2.1","prse",NA
"470","nm7","0009","SIGMA2.1","se",NA
"471","nm7","0009","SIGMA2.2","estimate","0.133319"
"472","nm7","0009","SIGMA2.2","prse",NA
"473","nm7","0009","SIGMA2.2","se",NA
"474","nm7","0009","cov","status","-1"
"475","nm7","0009","prob","text","0009 phase1 2 CMT like 1004 but diff. initial on V3"
"476","nm7","0009","min","status","0"
"477","nm7","0009","data","filename","../../1005bootdata/0009.csv"
"478","nm7","0010","ofv","minimum","2176.52433363751"
"479","nm7","0010","THETA1","estimate","8.39024"
"480","nm7","0010","THETA1","prse",NA
"481","nm7","0010","THETA1","se",NA
"482","nm7","0010","THETA2","estimate","21.1989"
"483","nm7","0010","THETA2","prse",NA
"484","nm7","0010","THETA2","se",NA
"485","nm7","0010","THETA3","estimate","0.0620831"
"486","nm7","0010","THETA3","prse",NA
"487","nm7","0010","THETA3","se",NA
"488","nm7","0010","THETA4","estimate","4.3402"
"489","nm7","0010","THETA4","prse",NA
"490","nm7","0010","THETA4","se",NA
"491","nm7","0010","THETA5","estimate","576.165"
"492","nm7","0010","THETA5","prse",NA
"493","nm7","0010","THETA5","se",NA
"494","nm7","0010","THETA6","estimate","0.887193"
"495","nm7","0010","THETA6","prse",NA
"496","nm7","0010","THETA6","se",NA
"497","nm7","0010","THETA7","estimate","1.15099"
"498","nm7","0010","THETA7","prse",NA
"499","nm7","0010","THETA7","se",NA
"500","nm7","0010","OMEGA1.1","estimate","0.186944"
"501","nm7","0010","OMEGA1.1","prse",NA
"502","nm7","0010","OMEGA1.1","se",NA
"503","nm7","0010","OMEGA2.1","estimate","0.112813"
"504","nm7","0010","OMEGA2.1","prse",NA
"505","nm7","0010","OMEGA2.1","se",NA
"506","nm7","0010","OMEGA2.2","estimate","0.0959331"
"507","nm7","0010","OMEGA2.2","prse",NA
"508","nm7","0010","OMEGA2.2","se",NA
"509","nm7","0010","OMEGA3.1","estimate","0.0269052"
"510","nm7","0010","OMEGA3.1","prse",NA
"511","nm7","0010","OMEGA3.1","se",NA
"512","nm7","0010","OMEGA3.2","estimate","-0.00833897"
"513","nm7","0010","OMEGA3.2","prse",NA
"514","nm7","0010","OMEGA3.2","se",NA
"515","nm7","0010","OMEGA3.3","estimate","0.025563"
"516","nm7","0010","OMEGA3.3","prse",NA
"517","nm7","0010","OMEGA3.3","se",NA
"518","nm7","0010","SIGMA1.1","estimate","0.0531402"
"519","nm7","0010","SIGMA1.1","prse",NA
"520","nm7","0010","SIGMA1.1","se",NA
"521","nm7","0010","SIGMA2.1","estimate","0"
"522","nm7","0010","SIGMA2.1","prse",NA
"523","nm7","0010","SIGMA2.1","se",NA
"524","nm7","0010","SIGMA2.2","estimate","0.139251"
"525","nm7","0010","SIGMA2.2","prse",NA
"526","nm7","0010","SIGMA2.2","se",NA
"527","nm7","0010","cov","status","-1"
"528","nm7","0010","prob","text","0010 phase1 2 CMT like 1004 but diff. initial on V3"
"529","nm7","0010","min","status","0"
"530","nm7","0010","data","filename","../../1005bootdata/0010.csv"
"531","nm7","0011","ofv","minimum","2308.01403611827"
"532","nm7","0011","THETA1","estimate","9.47701"
"533","nm7","0011","THETA1","prse",NA
"534","nm7","0011","THETA1","se",NA
"535","nm7","0011","THETA2","estimate","23.3568"
"536","nm7","0011","THETA2","prse",NA
"537","nm7","0011","THETA2","se",NA
