"","tool","run","parameter","moment","value"
"207","nm7",4,"SIGMA2.2","prse",NA
"208","nm7",4,"SIGMA2.2","se",NA
"209","nm7",4,"cov","status","0"
"210","nm7",4,"prob","text","4 phase1 2 CMT like 1004 but diff. initial on V3"
"211","nm7",4,"min","status","0"
"212","nm7",4,"data","filename","../data/4.csv"
"213","nm7",5,"ofv","minimum","2229.51962447243"
"214","nm7",5,"THETA1","estimate","9.53191"
"215","nm7",5,"THETA1","prse",NA
"216","nm7",5,"THETA1","se",NA
"217","nm7",5,"THETA2","estimate","23.251"
"218","nm7",5,"THETA2","prse",NA
"219","nm7",5,"THETA2","se",NA
"220","nm7",5,"THETA3","estimate","0.0699465"
"221","nm7",5,"THETA3","prse",NA
"222","nm7",5,"THETA3","se",NA
"223","nm7",5,"THETA4","estimate","3.39383"
"224","nm7",5,"THETA4","prse",NA
"225","nm7",5,"THETA4","se",NA
"226","nm7",5,"THETA5","estimate","110.439"
"227","nm7",5,"THETA5","prse",NA
"228","nm7",5,"THETA5","se",NA
"229","nm7",5,"THETA6","estimate","0.996753"
"230","nm7",5,"THETA6","prse",NA
"231","nm7",5,"THETA6","se",NA
"232","nm7",5,"THETA7","estimate","1.13391"
"233","nm7",5,"THETA7","prse",NA
"234","nm7",5,"THETA7","se",NA
"235","nm7",5,"OMEGA1.1","estimate","0.240071"
"236","nm7",5,"OMEGA1.1","prse",NA
"237","nm7",5,"OMEGA1.1","se",NA
"238","nm7",5,"OMEGA2.1","estimate","0.172754"
"239","nm7",5,"OMEGA2.1","prse",NA
"240","nm7",5,"OMEGA2.1","se",NA
"241","nm7",5,"OMEGA2.2","estimate","0.134445"
"242","nm7",5,"OMEGA2.2","prse",NA
"243","nm7",5,"OMEGA2.2","se",NA
"244","nm7",5,"OMEGA3.1","estimate","-0.00561372"
"245","nm7",5,"OMEGA3.1","prse",NA
"246","nm7",5,"OMEGA3.1","se",NA
"247","nm7",5,"OMEGA3.2","estimate","-0.0255986"
"248","nm7",5,"OMEGA3.2","prse",NA
"249","nm7",5,"OMEGA3.2","se",NA
"250","nm7",5,"OMEGA3.3","estimate","0.0460112"
"251","nm7",5,"OMEGA3.3","prse",NA
"252","nm7",5,"OMEGA3.3","se",NA
"253","nm7",5,"SIGMA1.1","estimate","0.0440085"
"254","nm7",5,"SIGMA1.1","prse",NA
"255","nm7",5,"SIGMA1.1","se",NA
"256","nm7",5,"SIGMA2.1","estimate","0"
"257","nm7",5,"SIGMA2.1","prse",NA
"258","nm7",5,"SIGMA2.1","se",NA
"259","nm7",5,"SIGMA2.2","estimate","0.220589"
